        Length / m                curve1_e-field (f=1) (2)/real
               604.05621                      0.20392722
               606.55231                      0.20360757
                609.0484                      0.20328848
               611.54449                      0.20296995
               614.04059                      0.20265198
               616.53668                      0.20233459
               619.03278                      0.20201778
               621.52887                      0.20170153
               624.02496                      0.20138588
               626.52106                       0.2010708
               629.01721                       0.2007563
               631.51331                      0.20044239
                634.0094                      0.20012908
               636.50549                      0.19981635
               639.00159                      0.19950423
               641.49768                      0.19919251
               643.99377                      0.19888119
               646.48987                      0.19857029
               648.98596                      0.19825978
               651.48212                      0.19794968
               653.97821                      0.19763998
                656.4743                       0.1973307
                658.9704                      0.19702183
               661.46649                      0.19671338
               663.96259                      0.19640534
               666.45868                      0.19609772
               668.95477                      0.19579054
               671.45087                      0.19548376
               673.94696                      0.19517741
               676.44312                      0.19487148
               678.93921                      0.19456598
                681.4353                      0.19426091
                683.9314                      0.19395628
               686.42749                      0.19365208
               688.92358                      0.19334832
               691.41968                      0.19304501
               693.91577                      0.19274212
               696.41187                      0.19243968
               698.90796                      0.19213769
               701.40411                      0.19183613
               703.90021                      0.19153504
                706.3963                      0.19123439
                708.8924                      0.19093419
               711.38849                      0.19063445
               713.88458                      0.19033518
               716.38068                      0.19003636
               718.87677                        0.189738
               721.37286                      0.18944011
               723.86896                      0.18914268
               726.36511                      0.18884572
               728.86121                      0.18854923
                731.3573                      0.18825321
               733.85339                      0.18795767
               736.34949                      0.18766262
               738.84558                      0.18736804
               741.34167                      0.18707393
               743.83777                      0.18678032
               746.33386                      0.18648719
               748.82996                      0.18619454
               751.32611                      0.18590239
                753.8222                      0.18561073
                756.3183                      0.18531957
               758.81439                      0.18502891
               761.31049                      0.18473876
               763.80658                       0.1844491
               766.30267                      0.18415995
               768.79877                       0.1838713
               771.29486                      0.18358317
               773.79095                      0.18329554
               776.28711                      0.18300843
                778.7832                      0.18272184
                781.2793                      0.18243577
               783.77539                      0.18215023
               786.27148                      0.18186521
               788.76758                      0.18158071
               791.26367                      0.18129674
               793.75977                      0.18101331
               796.25586                       0.1807304
               798.75195                      0.18044804
               801.24811                      0.18016616
                803.7442                      0.17988462
                806.2403                      0.17960344
               808.73639                      0.17932262
               811.23248                      0.17904217
               813.72858                       0.1787621
               816.22467                      0.17848239
               818.72076                      0.17820306
               821.21686                       0.1779241
               823.71301                      0.17764551
               826.20911                      0.17736731
                828.7052                      0.17708948
               831.20129                      0.17681203
               833.69739                      0.17653497
               836.19348                      0.17625829
               838.68958                        0.175982
               841.18567                      0.17570608
               843.68176                      0.17543056
               846.17786                      0.17515544
               848.67401                      0.17488071
                851.1701                      0.17460637
                853.6662                      0.17433244
               856.16229                       0.1740589
               858.65839                      0.17378577
               861.15448                      0.17351303
               863.65057                      0.17324071
               866.14667                      0.17296879
               868.64276                      0.17269726
               871.13885                      0.17242616
               873.63501                      0.17215547
                876.1311                      0.17188519
                878.6272                      0.17161534
               881.12329                       0.1713459
               883.61938                      0.17107688
               886.11548                      0.17080828
               888.61157                      0.17054011
               891.10767                      0.17027237
               893.60376                      0.17000505
               896.09985                      0.16973817
               898.59601                       0.1694717
                901.0921                      0.16920568
                903.5882                       0.1689401
               906.08429                      0.16867496
               908.58038                      0.16841026
               911.07648                        0.168146
               913.57257                      0.16788218
               916.06866                      0.16761882
               918.56476                       0.1673559
               921.06085                      0.16709343
               923.55701                       0.1668314
                926.0531                      0.16656985
               928.54919                      0.16630875
               931.04529                      0.16604811
               933.54138                      0.16578793
               936.03748                      0.16552822
               938.53357                      0.16526897
               941.02966                      0.16501019
               943.52576                      0.16475189
               946.02185                      0.16449405
               948.51801                      0.16423668
                951.0141                       0.1639798
               953.51019                       0.1637234
               956.00629                      0.16346748
               958.50238                      0.16321204
               960.99847                       0.1629571
               963.49457                      0.16270248
               965.99066                      0.16244819
               968.48676                      0.16219424
               970.98291                      0.16194062
                 973.479                      0.16168732
                975.9751                      0.16143437
               978.47119                      0.16118173
               980.96729                      0.16092945
               983.46338                       0.1606775
               985.95947                      0.16042589
               988.45557                      0.16017463
               990.95166                      0.15992371
               993.44775                      0.15967313
               995.94391                      0.15942289
                  998.44                      0.15917301
               1000.9361                      0.15892348
               1003.4322                       0.1586743
               1005.9283                      0.15842548
               1008.4244                      0.15817701
               1010.9205                      0.15792889
               1013.4166                      0.15768114
               1015.9127                      0.15743373
               1018.4088                      0.15718669
               1020.9049                      0.15694002
                1023.401                      0.15669372
               1025.8971                      0.15644778
               1028.3932                      0.15620221
               1030.8893                      0.15595701
               1033.3854                      0.15571217
               1035.8815                      0.15546771
               1038.3776                      0.15522364
               1040.8737                      0.15497994
               1043.3698                      0.15473662
               1045.8658                      0.15449368
               1048.3619                      0.15425112
                1050.858                      0.15400895
               1053.3541                      0.15376715
               1055.8502                      0.15352575
               1058.3464                      0.15328474
               1060.8425                      0.15304412
               1063.3386                      0.15280389
               1065.8347                      0.15256406
               1068.3308                      0.15232463
               1070.8269                       0.1520856
                1073.323                      0.15184697
               1075.8191                      0.15160875
               1078.3152                      0.15137093
               1080.8113                      0.15113351
               1083.3074                      0.15089651
               1085.8035                       0.1506599
               1088.2996                      0.15042372
               1090.7957                      0.15018795
               1093.2917                       0.1499526
               1095.7878                      0.14971767
               1098.2839                      0.14948316
                 1100.78                      0.14924907
               1103.2761                      0.14901541
               1105.7722                      0.14878217
